time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-08T05:09:33.519Z,24.1921,121.8712,23.314,4.6,mwr,80,78,0.656,0.68,us,us7000maqf,2024-04-08T06:38:48.579Z,"36 km NE of Hualien City, Taiwan",earthquake,3.82,4.883,0.066,22,reviewed,us,us
2024-04-07T22:49:29.945Z,24.2342,121.8531,30.134,4.6,mb,41,121,0.614,0.89,us,us7000map5,2024-04-07T23:08:18.040Z,"38 km NE of Hualien City, Taiwan",earthquake,3.02,3.442,0.079,47,reviewed,us,us
2024-04-07T19:58:41.220Z,23.8875,121.7093,41.467,4.3,mb,50,85,0.621,0.7,us,us7000mani,2024-04-20T16:39:10.040Z,"14 km SE of Hualien City, Taiwan",earthquake,3.76,8.089,0.093,33,reviewed,us,us
2024-04-07T10:01:21.604Z,24.1339,122.0134,35.957,4.9,mww,122,29,0.789,0.54,us,us7000mal5,2024-04-21T11:01:03.459Z,"45 km ENE of Hualien City, Taiwan",earthquake,2.15,5.319,0.083,14,reviewed,us,us
2024-04-07T05:00:07.657Z,24.0197,121.7264,37.053,4.4,mb,25,82,0.722,0.66,us,us7000mcfi,2024-04-16T17:10:35.040Z,"13 km ENE of Hualien City, Taiwan",earthquake,3.28,8.118,0.17,10,reviewed,us,us
2024-04-07T04:43:13.508Z,23.9243,121.6229,24.849,4.3,mb,30,53,0.608,0.76,us,us7000mcfg,2024-04-17T00:46:35.040Z,"6 km SSE of Hualien City, Taiwan",earthquake,3.66,5.365,0.137,16,reviewed,us,us
2024-04-07T02:06:00.721Z,24.2254,121.754,14.482,4.6,mb,26,71,0.561,0.56,us,us7000maix,2024-04-08T02:06:39.583Z,"31 km NNE of Hualien City, Taiwan",earthquake,3.03,4.943,0.122,20,reviewed,us,us
2024-04-06T21:15:08.916Z,24.008,121.7672,18.606,4.9,mb,70,69,0.749,0.66,us,us7000mai0,2024-04-16T04:54:49.791Z,"16 km ENE of Hualien City, Taiwan",earthquake,1.66,4.132,0.052,119,reviewed,us,us
2024-04-06T15:53:11.539Z,24.2233,121.8511,26.353,4.8,mwr,106,40,0.62,0.71,us,us7000magn,2024-04-06T16:46:06.323Z,"37 km NE of Hualien City, Taiwan",earthquake,2.87,4.756,0.06,27,reviewed,us,us
2024-04-06T13:17:52.876Z,24.2052,121.7694,14.741,4.2,mb,20,119,0.585,0.83,us,us7000mag8,2024-04-06T15:26:26.040Z,"30 km NNE of Hualien City, Taiwan",earthquake,3.88,6.13,0.2,7,reviewed,us,us
2024-04-06T10:47:12.078Z,23.8745,121.7218,28.612,5.2,mww,38,72,0.618,0.71,us,us7000mafi,2024-04-06T16:34:40.221Z,"16 km SE of Hualien City, Taiwan",earthquake,3.13,5.258,0.073,18,reviewed,us,us
2024-04-06T08:10:24.695Z,23.784,121.6221,7.924,4.1,mwr,37,81,0.491,0.71,us,us7000maej,2024-04-21T06:24:59.040Z,"21 km S of Hualien City, Taiwan",earthquake,2.81,5.092,0.073,18,reviewed,us,us
2024-04-06T06:52:33.074Z,23.8323,121.6142,29.682,4,mwr,35,80,0.526,0.75,us,us7000mc7h,2024-04-21T06:14:31.040Z,"16 km S of Hualien City, Taiwan",earthquake,3.27,5.286,0.066,22,reviewed,us,us
2024-04-06T06:02:19.022Z,23.9012,121.7862,22.398,4.3,mwr,46,87,0.676,0.54,us,us7000madk,2024-04-21T05:50:58.040Z,"20 km ESE of Hualien City, Taiwan",earthquake,4.06,3.63,0.065,23,reviewed,us,us
2024-04-06T03:52:55.108Z,24.1624,121.7422,28.79,4.9,mb,70,63,0.605,1.06,us,us7000macw,2024-04-06T04:12:40.040Z,"24 km NE of Hualien City, Taiwan",earthquake,2.3,4.817,0.049,131,reviewed,us,us
2024-04-06T03:50:21.706Z,24.1373,121.6754,19.993,4.2,mb,29,79,0.597,0.7,us,us7000macu,2024-04-09T03:35:17.040Z,"19 km NNE of Hualien City, Taiwan",earthquake,2.81,6.09,0.124,18,reviewed,us,us
2024-04-06T01:37:49.373Z,23.6231,122.0155,10,5,mb,59,88,0.698,0.67,us,us7000mace,2024-04-06T01:59:28.040Z,"57 km SE of Hualien City, Taiwan",earthquake,2.97,1.86,0.05,127,reviewed,us,us
2024-04-05T21:34:12.291Z,24.0028,121.6805,17.119,4.5,mb,48,76,0.699,0.48,us,us7000mabb,2024-04-20T23:55:50.040Z,"8 km ENE of Hualien City, Taiwan",earthquake,2.62,0.697,0.1,29,reviewed,us,us
2024-04-05T20:26:26.191Z,23.9124,121.8107,21.728,4.9,mww,194,36,0.7,0.65,us,us7000maaf,2024-04-06T16:03:59.399Z,"22 km ESE of Hualien City, Taiwan",earthquake,3.3,3.702,0.083,14,reviewed,us,us
2024-04-05T20:12:10.604Z,24.0947,121.7031,18.866,4.5,mb,57,71,0.645,0.49,us,us7000maab,2024-04-06T15:20:41.040Z,"16 km NE of Hualien City, Taiwan",earthquake,2.33,4.315,0.089,42,reviewed,us,us
2024-04-05T18:49:23.111Z,23.901,121.9681,15.008,4.6,mwr,50,79,0.797,0.58,us,us7000ma9w,2024-04-06T02:26:55.819Z,"37 km ESE of Hualien City, Taiwan",earthquake,2.5,4.309,0.069,20,reviewed,us,us
